city,location,price,bedrooms,baths,size,size_group
Lahore,"DHA Phase 6, DHA Defence",74500000.0,5.0,6.0,4500.0,3001–5000
Lahore,"DHA Phase 7, DHA Defence",51500000.0,5.0,6.0,4500.0,3001–5000
Lahore,"Dream Gardens, Defence Road",7500000.0,1.0,1.0,518.0,501–1000
Lahore,"DHA Phase 6, DHA Defence",73000000.0,5.0,6.0,4500.0,3001–5000
Lahore,"Bahria Town - Sector B, Bahria Town",5700000.0,1.0,1.0,472.0,0–500
Lahore,"DHA Phase 5 - Block L, DHA Phase 5",53500000.0,5.0,6.0,2250.0,2001–3000
Lahore,"Bahria Town - Overseas A, Bahria Town - Overseas Enclave",97500000.0,5.0,6.0,4500.0,3001–5000
Lahore,"Bahria Town - Jasmine Block, Bahria Town - Sector C",47000000.0,5.0,7.0,4500.0,3001–5000
Lahore,"Bahria Town - Sector E, Bahria Town",5000000.0,1.0,1.0,450.0,0–500
Lahore,"Raiwind Road, Lahore",8299000.0,1.0,1.0,630.0,501–1000
Lahore,"DHA Phase 6, DHA Defence",95000000.0,6.0,7.0,4500.0,3001–5000
Lahore,"DHA 11 Rahbar Phase 2 - Block K, DHA 11 Rahbar Phase 2",20000000.0,3.0,4.0,1125.0,1001–1500
Lahore,"Ali Park - Block E, Ali Park",8000000.0,3.0,3.0,562.0,501–1000
Lahore,"Bahria Town - Jinnah Block, Bahria Town - Sector E",20700000.0,3.0,4.0,1125.0,1001–1500
Lahore,"Bahria Town - Overseas A, Bahria Town - Overseas Enclave",32800000.0,0.0,0.0,2250.0,2001–3000
Lahore,"DHA Phase 5, DHA Defence",85000000.0,5.0,6.0,4500.0,3001–5000
Lahore,"DHA Phase 6, DHA Defence",378000000.0,6.0,7.0,9000.0,5001–10000
Lahore,"Bahria Town - Block AA, Bahria Town - Sector D",18300000.0,3.0,4.0,1125.0,1001–1500
Lahore,"Bahria Town - Overseas A, Bahria Town - Overseas Enclave",32800000.0,5.0,6.0,2250.0,2001–3000
Lahore,"Bahria Town - Block AA, Bahria Town - Sector D",18500000.0,3.0,4.0,1125.0,1001–1500
Lahore,"Al-Kabir Town - Phase 2, Al-Kabir Town",17500000.0,4.0,5.0,1125.0,1001–1500
Lahore,"DHA Phase 7, DHA Defence",73000000.0,5.0,6.0,4500.0,3001–5000
Lahore,"PCSIR Housing Scheme Phase 2, PCSIR Housing Scheme",62500000.0,5.0,6.0,4500.0,3001–5000
Lahore,"Jubilee Town, Lahore",16500000.0,5.0,6.0,1125.0,1001–1500
Lahore,"Wapda Town Phase 1, Wapda Town",52500000.0,5.0,6.0,4500.0,3001–5000
Lahore,"Architects Engineers Housing Society, Lahore",57000000.0,5.0,5.0,4500.0,3001–5000
Lahore,"Johar Town, Lahore",29000000.0,5.0,5.0,1125.0,1001–1500
Lahore,"Paragon City, Lahore",50000000.0,5.0,6.0,2250.0,2001–3000
Lahore,"Johar Town Phase 2, Johar Town",29000000.0,5.0,6.0,1125.0,1001–1500
Lahore,"DHA Phase 7 - Block Y, DHA Phase 7",61000000.0,5.0,6.0,4500.0,3001–5000
Lahore,"DHA Phase 5, DHA Defence",78400000.0,5.0,6.0,4500.0,3001–5000
Lahore,"Askari 11 - Sector B, Askari 11",23000000.0,3.0,4.0,2250.0,2001–3000
Lahore,"Sadaat Town, Lahore",16000000.0,3.0,4.0,1125.0,1001–1500
Lahore,"Bahria Town - Jinnah Block, Bahria Town - Sector E",22000000.0,3.0,4.0,1125.0,1001–1500
Lahore,"Al-Kabir Town - Phase 2, Al-Kabir Town",9000000.0,3.0,4.0,675.0,501–1000
Lahore,"DHA 9 Town, DHA Defence",19500000.0,3.0,4.0,1125.0,1001–1500
Lahore,"DHA 9 Town, DHA Defence",18500000.0,3.0,4.0,1125.0,1001–1500
Lahore,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",49900000.0,4.0,5.0,2250.0,2001–3000
Lahore,"DHA Phase 6 - Block J, DHA Phase 6",36500000.0,4.0,4.0,1575.0,1501–2000
Lahore,"Bahria Town - Jasmine Block, Bahria Town - Sector C",46000000.0,5.0,6.0,2250.0,2001–3000
Lahore,"Bahria Town - Chambelli Block, Bahria Town - Sector C",47500000.0,5.0,6.0,2250.0,2001–3000
Lahore,"Green Cap Housing Society, Lahore",7700000.0,3.0,3.0,788.0,501–1000
Lahore,"Jubilee Town, Lahore",32000000.0,6.0,7.0,2250.0,2001–3000
Lahore,"Bahria Town - Block BB, Bahria Town - Sector D",21000000.0,3.0,4.0,1125.0,1001–1500
Lahore,"DHA Phase 6 - Block L, DHA Phase 6",62900000.0,4.0,5.0,2250.0,2001–3000
Lahore,"DHA 9 Town, DHA Defence",21500000.0,3.0,4.0,1125.0,1001–1500
Lahore,"DHA Phase 8, DHA Defence",58000000.0,5.0,6.0,4500.0,3001–5000
Lahore,"DHA Phase 7, DHA Defence",73500000.0,5.0,6.0,4500.0,3001–5000
Lahore,"DHA Phase 2 - Block U, DHA Phase 2",150000000.0,6.0,7.0,12150.0,10000+
Lahore,"DHA Phase 6 - Block D, DHA Phase 6",65000000.0,2.0,3.0,4500.0,3001–5000
Lahore,"DHA 9 Town - Block A, DHA 9 Town",18500000.0,3.0,4.0,1125.0,1001–1500
