city,location,price,bedrooms,baths,size,year,source
Lahore,"DHA 9 Town, DHA Defence",21500000.0,3,4,1125.0,2025,live
Lahore,"Park View City, Lahore",17000000.0,4,5,1125.0,2025,live
Lahore,"Park View City, Lahore",16600000.0,4,4,1125.0,2025,live
Lahore,"Park View City, Lahore",18400000.0,4,4,1125.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",59000000.0,5,6,4500.0,2025,live
Lahore,"DHA 9 Town - Block A, DHA 9 Town",20800000.0,3,4,1125.0,2025,live
Lahore,"Wapda Town Phase 1 - Block K1, Wapda Town Phase 1",53500000.0,6,6,4500.0,2025,live
Lahore,"Lake City, Raiwind Road",22900000.0,4,4,1125.0,2025,live
Lahore,"Al-Kabir Town - Phase 2, Al-Kabir Town",11200000.0,3,3,675.0,2025,live
Lahore,"Formanites Housing Scheme, Lahore",39000000.0,5,6,2250.0,2025,live
Lahore,"DHA Phase 5, DHA Defence",87500000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",52500000.0,4,5,2250.0,2025,live
Lahore,"DHA 9 Town, DHA Defence",30500000.0,3,4,1125.0,2025,live
Lahore,"DHA 9 Town - Block C, DHA 9 Town",23500000.0,3,4,1125.0,2025,live
Lahore,"DHA 9 Town - Block C, DHA 9 Town",29500000.0,3,4,1125.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",77500000.0,5,5,4500.0,2025,live
Lahore,"DHA 9 Town, DHA Defence",18800000.0,3,5,1125.0,2025,live
Lahore,"DHA Phase 6 - Block L, DHA Phase 6",79500000.0,6,6,4500.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",74500000.0,5,6,4500.0,2025,live
Lahore,"Gulberg, Lahore",12500000.0,3,3,698.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",87000000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",81000000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 7 - Block Q, DHA Phase 7",64900000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",67900000.0,5,6,4500.0,2025,live
Lahore,"Jubilee Town, Lahore",21000000.0,5,5,1125.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",66500000.0,5,6,4500.0,2025,live
Lahore,"DHA 9 Town, DHA Defence",22100000.0,5,4,1125.0,2025,live
Lahore,"Bahria Orchard, Lahore",16000000.0,3,4,1125.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",360000000.0,7,7,9000.0,2025,live
Lahore,"DHA Phase 4 - Block EE, DHA Phase 4",78000000.0,4,5,2250.0,2025,live
Lahore,"Nespak Scheme Phase 1, College Road",110000000.0,8,6,9000.0,2025,live
Lahore,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",22000000.0,3,4,1125.0,2025,live
Lahore,"Military Accounts Housing Society, Lahore",29500000.0,6,7,1800.0,2025,live
Lahore,"DHA 9 Town, DHA Defence",19500000.0,3,4,1125.0,2025,live
Lahore,"Central Park - Block A, Central Park Housing Scheme",36000000.0,5,6,2250.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",79500000.0,5,6,6750.0,2025,live
